Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
tcp,64,1,0.073368989,13.629736672533406,0
tcp,64,64,0.073677758,868.6474960326562,0
tcp,64,1024,0.073687179,13896.583013443898,0
udp,65536,1,76.3191452,0.01310287212179101,0
udp,64,64,0.071405408,896.2906563043516,0
udp,64,1024,0.074616849,13723.44200704589,0
tcp,64,1024,0.07407875,13823.127415081923,0
tcp,64,16384,0.074261836,220624.7634383831,0
tcp,64,65536,0.072211416,907557.3313781854,0
Transfer Protocall,data size (bytes),time (s),throughput (bytes / s),,
tcp,1,0.00108928,918.0376028202115,,
tcp,1,0.001099548,909.4646163696355,,
tcp,1,0.001149872,869.6620145546635,,
tcp,1,0.001149539,869.9139394139738,,
tcp,1,0.001041155,960.4717837401732,,
tcp,1,0.001148034,871.0543415961548,,
tcp,1,0.001058333,944.8821873644685,,
tcp,1,0.00117318,852.3841183791063,,
tcp,1,0.001192541,838.5455929817088,,
tcp,1,0.001201585,832.2340908050617,,
tcp,1,0.001137507,879.1154691795302,,
tcp,1,0.001188133,841.656615883912,,
tcp,1,0.001167211,856.743125278977,,
tcp,1,0.001172349,852.9883166190273,,
tcp,1,0.001198716,834.225955105296,,
tcp,1,0.001174822,851.192776437622,,
tcp,1,0.001178784,848.3318402692945,,
tcp,1,0.00115199,868.0630908254411,,
tcp,1,0.001138201,878.5794424710574,,
tcp,1,0.001157513,863.921182742656,,
tcp,1,0.001121162,891.9317636523535,,
tcp,1,0.00116296,859.8748022287955,,
tcp,1,0.001137136,879.4022878529921,,
tcp,1,0.001141835,875.7832786698605,,
tcp,1,0.001144784,873.5272330850187,,
tcp,1,0.001161708,860.8015095015271,,
tcp,1,0.001173916,851.8497064525912,,
tcp,1,0.001128757,885.9302755154564,,
tcp,1,0.001149943,869.6083197167163,,
tcp,1,0.001106408,903.8257134800183,,
tcp,1,0.00118965,840.5833648552095,,
tcp,1,0.001118941,893.7021701769798,,
tcp,1,0.001191681,839.1507458791405,,
tcp,1,0.001146955,871.8737875505142,,
tcp,1,0.001145631,872.8814077133038,,
tcp,1,0.001186492,842.8206848423757,,
tcp,1,0.001160267,861.8705866839271,,
tcp,1,0.001080798,925.2422746896275,,
tcp,1,0.001121079,891.9977985494331,,
tcp,1,0.001094877,913.3446040057468,,
tcp,1,0.001117053,895.2126711982332,,
tcp,1,0.0011653,858.1481163648846,,
tcp,1,0.00112515,888.7703861707326,,
tcp,1,0.001106353,903.8706452642149,,
tcp,1,0.001107461,902.9663347061432,,
tcp,1,0.001134276,881.6196410750117,,
tcp,1,0.001147777,871.2493803238782,,
tcp,1,0.001124671,889.1489155495251,,
tcp,1,0.001154281,866.3401719338705,,
tcp,1,0.001211619,825.3419598074972,,
tcp,1,0.00111602,896.041289582624,,
tcp,1,0.001159204,862.6609293963788,,
tcp,1,0.001183617,844.8678922320311,,
tcp,1,0.001092602,915.2463568618765,,
tcp,1,0.00116859,855.7321216166491,,
tcp,1,0.001153216,867.1402408568732,,
tcp,1,0.001231441,812.0567692646257,,
tcp,1,0.001169668,854.9434540399498,,
tcp,1,0.001101329,907.9938873851501,,
tcp,1,0.001154136,866.4490146741805,,
tcp,1,0.001132462,883.031836829845,,
tcp,1,0.001187984,841.7621786152002,,
tcp,1,0.001142893,874.9725477363147,,
tcp,1,0.001148613,870.6152550946229,,
tcp,64,0.001097873,58294.53862149811,,
tcp,64,0.001125046,56886.56286054081,,
tcp,64,0.001189632,53798.14934366258,,
tcp,64,0.00112927,56673.780406811486,,
tcp,64,0.001092297,58592.12283838553,,
tcp,64,0.001157846,55275.05384999387,,
tcp,64,0.001166983,54842.27276661272,,
tcp,64,0.001151273,55590.637494321505,,
tcp,64,0.001188591,53845.2672113452,,
tcp,64,0.00113461,56407.04735547897,,
tcp,64,0.001099674,58199.06626873055,,
tcp,64,0.001143153,55985.50675193959,,
tcp,64,0.001163675,54998.1738887576,,
tcp,64,0.001113294,57487.060920116346,,
tcp,64,0.001092701,58570.45980556438,,
tcp,64,0.001226349,52187.42788553666,,
tcp,64,0.001098972,58236.242597627606,,
tcp,64,0.001117599,57265.62031641045,,
tcp,64,0.001097938,58291.08747488474,,
tcp,64,0.001116987,57296.99629449582,,
tcp,64,0.001138564,56211.15721206713,,
tcp,64,0.001218738,52513.33756722118,,
tcp,64,0.001177307,54361.35179693996,,
tcp,64,0.00118497,54009.806155430095,,
tcp,64,0.001137011,56287.933889821645,,
tcp,64,0.001145535,55869.09173442976,,
tcp,64,0.001149071,55697.16753795022,,
tcp,64,0.001147942,55751.945655790965,,
tcp,64,0.001124141,56932.35990858798,,
tcp,64,0.001130253,56624.49026899288,,
tcp,64,0.001191821,53699.33907860325,,
tcp,64,0.001128658,56704.51102105332,,
tcp,64,0.001123062,56987.058595162154,,
tcp,64,0.001215281,52662.71751142329,,
tcp,64,0.001163748,54994.723943671655,,
tcp,64,0.001160451,55150.9714757452,,
tcp,64,0.001173621,54532.0848894149,,
tcp,64,0.001215653,52646.60227877528,,
tcp,64,0.001164348,54966.38462040559,,
tcp,64,0.001154083,55455.28354546423,,
tcp,64,0.00117376,54525.627044711015,,
tcp,64,0.00113523,56376.2409379597,,
tcp,64,0.001250397,51183.74404289197,,
tcp,64,0.001147943,55751.89708896696,,
tcp,64,0.001137221,56277.539721830675,,
tcp,64,0.001144729,55908.428981881305,,
tcp,64,0.001170577,54673.891593632885,,
tcp,64,0.001119521,57167.306374779924,,
tcp,64,0.001084449,59016.14552643785,,
tcp,64,0.001125947,56841.04136340343,,
tcp,64,0.001165811,54897.40618333503,,
tcp,64,0.001086413,58909.45708492074,,
tcp,64,0.001199042,53375.94512952841,,
tcp,64,0.001156527,55338.0941387447,,
tcp,64,0.001192484,53669.483196420246,,
tcp,64,0.001168201,54785.09263388749,,
tcp,64,0.001196028,53510.452932540036,,
tcp,64,0.001184143,54047.5263545028,,
tcp,64,0.001194831,53564.060524040644,,
tcp,64,0.001123482,56965.75468053782,,
tcp,64,0.001175739,54433.84968942937,,
tcp,64,0.001128792,56697.77957320747,,
tcp,64,0.001132021,56536.05365978193,,
tcp,64,0.001136449,56315.7695593907,,
tcp,1024,0.001134072,902940.9067501887,,
tcp,1024,0.001171625,873999.7866211459,,
tcp,1024,0.001175252,871302.49512445,,
tcp,1024,0.001185263,863943.2767242376,,
tcp,1024,0.001231798,831305.1328221023,,
tcp,1024,0.001137853,899940.5019804842,,
tcp,1024,0.00119227,858865.8609207645,,
tcp,1024,0.001125239,910028.8916399094,,
tcp,1024,0.001151476,889293.3938701284,,
tcp,1024,0.001194249,857442.6271238242,,
tcp,1024,0.001151535,889247.8300702975,,
tcp,1024,0.001142175,896535.1193993915,,
tcp,1024,0.001179567,868115.1642933381,,
tcp,1024,0.001096657,933746.8324188875,,
tcp,1024,0.001114152,919084.6491322549,,
tcp,1024,0.001171134,874366.2125768699,,
tcp,1024,0.001115943,917609.5911708751,,
tcp,1024,0.001174491,871867.0470867807,,
tcp,1024,0.001146081,893479.6057172224,,
tcp,1024,0.001201575,852214.8014064872,,
tcp,1024,0.001240715,825330.555365253,,
tcp,1024,0.001153151,888001.6580655959,,
tcp,1024,0.001145961,893573.1669751414,,
tcp,1024,0.001142109,896586.9282178845,,
tcp,1024,0.001189715,860710.3381902388,,
tcp,1024,0.001188016,861941.2533164535,,
tcp,1024,0.001121721,912882.9717906681,,
tcp,1024,0.001280743,799535.8943987982,,
tcp,1024,0.001120124,914184.5010016749,,
tcp,1024,0.001166683,877701.9978863153,,
tcp,1024,0.001139103,898952.9480652759,,
tcp,1024,0.001129502,906594.2335648809,,
tcp,1024,0.001137957,899858.2547495204,,
