Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
tcp,64,1,2.325293373,0.4300532619287691,0
tcp,64,64,1.514467703,42.25907219627251,0
tcp,64,1024,1.5739106760000001,650.6087134515377,0
udp,64,1,1.440760539,0.6940778657736405,0
udp,64,64,1.4053227050000001,45.54114138503156,0
udp,64,1024,1.508079839,679.0091436266458,0
tcp,64,1024,1.5356311809999998,666.8267828041713,0
tcp,64,16384,3.3274974889999998,4923.820394804812,0
tcp,64,65536,15.342229299,4271.608690157669,0
tcp,64,262144,57.208058495,4582.29149697348,0
tcp,64,1048576,235.554091843,4451.529548036423,0
tcp,256,4096,7.8098895,524.463246246954,0
tcp,512,2048,14.830797491,138.09102317274707,0
tcp,1024,1024,25.99423469,39.3933505722303,0
udp,256,4096,9.447062231,433.5739407494541,0
udp,512,2048,16.880714609,121.32187809798661,0
udp,1024,1024,24.886049753,41.14755094373936,0
Transfer Protocall,data size (bytes),time (s),throughput (bytes / s),,
tcp,1,0.037734163,26.50118408615556,,
tcp,1,0.036030914,27.753944848581973,,
tcp,1,0.035987165,27.787684859310257,,
tcp,1,0.036045068,27.74304656603783,,
tcp,1,0.035908401,27.848636312154362,,
tcp,1,0.036018683,27.763369360284493,,
tcp,1,0.035987641,27.787317318187096,,
tcp,1,0.035997491,27.77971386950274,,
tcp,1,0.036351019,27.50954519321728,,
tcp,1,0.035662033,28.041026152378915,,
tcp,1,0.036000527,27.77737114792792,,
tcp,1,0.035970471,27.80058120451078,,
tcp,1,0.036022901,27.76011848684813,,
tcp,1,0.039995388,25.002882832390576,,
tcp,1,0.035951843,27.81498572966065,,
tcp,1,0.036024686,27.758742990848,,
tcp,1,0.035975747,27.796504128183912,,
tcp,1,0.043964972,22.745380117608175,,
tcp,1,0.036054677,27.735652714348266,,
tcp,1,0.036028018,27.75617576298535,,
tcp,1,0.035886037,27.865991443970252,,
tcp,1,0.036073558,27.72113579702895,,
tcp,1,0.035958888,27.809536268196055,,
tcp,1,0.035969964,27.80097305629775,,
tcp,1,0.035991305,27.78448850354273,,
tcp,1,0.035963641,27.80586092492693,,
tcp,1,0.036011808,27.768669654131223,,
tcp,1,0.035978918,27.794054284789777,,
tcp,1,0.035988183,27.786898827317845,,
tcp,1,0.036025779,27.757900807641107,,
tcp,1,0.03598788,27.787132779146756,,
tcp,1,0.036035797,27.750184073908507,,
tcp,1,0.035935872,27.82734755956388,,
tcp,1,0.036014289,27.76675668926853,,
tcp,1,0.036023417,27.759720850467904,,
tcp,1,0.035990382,27.785201057326926,,
tcp,1,0.035978742,27.7941902471187,,
tcp,1,0.036007567,27.771940270221535,,
tcp,1,0.035956024,27.8117513771823,,
tcp,1,0.035996827,27.780226296056593,,
tcp,1,0.036014081,27.76691705669235,,
tcp,1,0.036086584,27.711129432478288,,
tcp,1,0.035849945,27.89404558361247,,
tcp,1,0.03599096,27.784754838437205,,
tcp,1,0.035978631,27.794275996771532,,
tcp,1,0.043987638,22.73365985234306,,
tcp,1,0.036001231,27.776827964577098,,
tcp,1,0.036037778,27.748658643715494,,
tcp,1,0.03595838,27.809929145862522,,
tcp,1,0.036002052,27.7761945346893,,
tcp,1,0.035980993,27.792451420115057,,
tcp,1,0.036142248,27.66845050700775,,
tcp,1,0.035826664,27.912171783563213,,
tcp,1,0.035981793,27.791833497569176,,
tcp,1,0.03669566,27.2511790222604,,
tcp,1,0.035198554,28.410257989575367,,
tcp,1,0.036415464,27.460861133061492,,
tcp,1,0.03804675,26.28345390867814,,
tcp,1,0.033649483,29.71813861152042,,
tcp,1,0.036002752,27.77565448330172,,
tcp,1,0.035975278,27.796866503714025,,
tcp,1,0.037246021,26.848505508816636,,
tcp,1,0.03475867,28.76980045554102,,
tcp,1,0.035979077,27.793931456329467,,
tcp,64,0.022647954,2825.862327343123,,
