Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
tcp,64,1,0.182535873,5.478375201350148,0
tcp,64,64,0.191482775,334.23371893372655,0
tcp,64,1024,0.186928136,5478.041037118136,0
udp,64,1,0.177429266,5.636048790282433,0
udp,64,64,0.171460812,373.26313373577165,0
udp,64,1024,0.23756003,4310.489437133006,0
tcp,64,1024,0.216236707,4735.551212403544,0
tcp,64,16384,0.35591441,46033.53935571195,0
tcp,64,65536,0.957412376,68451.17280999092,0
tcp,64,262144,3.182795456,82362.81709709717,0
tcp,64,1048576,14.275946581,73450.54102370769,0
tcp,256,4096,1.006228189,4070.6472396391987,0
tcp,512,2048,1.753103268,1168.2141248509724,0
tcp,1024,1024,3.301138849,310.19597988439534,0
udp,256,4096,0.86589358,4730.373448432311,0
udp,512,2048,1.615874719,1267.4249902662164,0
udp,1024,1024,3.022970584,338.73965079906316,0
Transfer Protocall,data size (bytes),time (s),throughput (bytes / s),,
tcp,1,0.002916031,342.931882411401,,
tcp,1,0.002080862,480.57007144154676,,
tcp,1,0.003026465,330.4184915404606,,
tcp,1,0.003081561,324.5108566729654,,
tcp,1,0.002945358,339.5173014621652,,
tcp,1,0.002926718,341.67965618826275,,
tcp,1,0.002936278,340.56720787336894,,
tcp,1,0.001977293,505.74194112860357,,
tcp,1,0.00205297,487.09917826368627,,
tcp,1,0.002026963,493.3489165811117,,
tcp,1,0.002045721,488.8252112580357,,
tcp,1,0.002950598,338.91434888792037,,
tcp,1,0.003119283,320.5864937551354,,
tcp,1,0.003057597,327.0542193755423,,
tcp,1,0.002874427,347.89542402711913,,
tcp,1,0.002987164,334.7656841070661,,
tcp,1,0.002962732,337.5263101758782,,
tcp,1,0.003086979,323.94130313163777,,
tcp,1,0.002973918,336.25674951360463,,
tcp,1,0.002929709,341.3308284201605,,
tcp,1,0.001981098,504.77058681599794,,
tcp,1,0.002035899,491.18350173559696,,
tcp,1,0.001977307,505.73836030520295,,
tcp,1,0.002970816,336.60785454232104,,
tcp,1,0.002104987,475.0623162993406,,
tcp,1,0.003058575,326.9496415814554,,
tcp,1,0.002618029,381.9667391002926,,
tcp,1,0.003052251,327.6270529520672,,
tcp,1,0.002898936,344.9541486945555,,
tcp,1,0.003072884,325.42718827004205,,
tcp,1,0.002933875,340.84615056878704,,
tcp,1,0.003052365,327.6148167077004,,
tcp,1,0.003009279,332.30551238353104,,
tcp,1,0.003061692,326.6167857511468,,
tcp,1,0.002877822,347.48500775934025,,
tcp,1,0.002925212,341.85556465651035,,
tcp,1,0.002984656,335.0469869894554,,
tcp,1,0.003054061,327.43288362609655,,
tcp,1,0.003092699,323.3421681191736,,
tcp,1,0.003043373,328.58279284202104,,
tcp,1,0.002807927,356.1346146107075,,
tcp,1,0.002673414,374.0535510025758,,
tcp,1,0.002929176,341.3929378091313,,
tcp,1,0.003032562,329.75418144789785,,
tcp,1,0.003234114,309.20369535520393,,
tcp,1,0.002796027,357.65033742521086,,
tcp,1,0.002996709,333.6994015768631,,
tcp,1,0.00292546,341.82658453713265,,
tcp,1,0.002734871,365.6479592638922,,
tcp,1,0.002929188,341.39153922520507,,
tcp,1,0.002977496,335.8526762084651,,
tcp,1,0.00296926,336.7842492742299,,
tcp,1,0.002968234,336.90066214456135,,
tcp,1,0.003067927,325.9529969259373,,
tcp,1,0.003369951,296.740219664915,,
tcp,1,0.003176644,314.797629196095,,
tcp,1,0.002829029,353.4781721926499,,
tcp,1,0.003039775,328.9717166566604,,
tcp,1,0.003050917,327.77030643573715,,
tcp,1,0.003064742,326.2917400551172,,
tcp,1,0.002920995,342.34909679749535,,
tcp,1,0.003025985,330.4709045153892,,
tcp,1,0.002992776,334.13793748680155,,
tcp,1,0.003258251,306.91312609126794,,
tcp,64,0.002834095,22582.164676907443,,
tcp,64,0.002879891,22223.063303437528,,
tcp,64,0.002998168,21346.36884924394,,
tcp,64,0.002983866,21448.684357809634,,
tcp,64,0.002995988,21361.901316026633,,
tcp,64,0.003090056,20711.598754197337,,
tcp,64,0.002729782,23445.095615693852,,
tcp,64,0.001989959,32161.4666432826,,
tcp,64,0.003000875,21327.11292539676,,
tcp,64,0.003384024,18912.39542036345,,
tcp,64,0.002564954,24951.71453367195,,
tcp,64,0.00300475,21299.608952491886,,
tcp,64,0.002998193,21346.19085562537,,
tcp,64,0.00305615,20941.380495067322,,
tcp,64,0.002963722,21594.468037150586,,
tcp,64,0.002987665,21421.41103503907,,
tcp,64,0.003025226,21155.44425441273,,
tcp,64,0.002972475,21530.879149530272,,
tcp,64,0.00304943,20987.528816860857,,
tcp,64,0.002946534,21720.434924558824,,
tcp,64,0.003070439,20843.92492409066,,
tcp,64,0.003072413,20830.53287432386,,
tcp,64,0.002889248,22151.092602642624,,
tcp,64,0.002977716,21492.9832126368,,
tcp,64,0.003003122,21311.1555241512,,
tcp,64,0.003060578,20911.082808541392,,
tcp,64,0.002918428,21929.614162144826,,
tcp,64,0.003080813,20773.73732193418,,
tcp,64,0.002979233,21482.039169141855,,
tcp,64,0.003072233,20831.75332079305,,
tcp,64,0.003174074,20163.3610306502,,
tcp,64,0.002754363,23235.86252066267,,
tcp,64,0.002998925,21340.980518018958,,
tcp,64,0.003014728,21229.11254348651,,
tcp,64,0.002945529,21727.845830069913,,
tcp,64,0.003032931,21101.699972732647,,
tcp,64,0.003008256,21274.78512467024,,
tcp,64,0.00300299,21312.09228135958,,
tcp,64,0.003139429,20385.872717618397,,
tcp,64,0.002923411,21892.234790113333,,
tcp,64,0.00311235,20563.239995501794,,
tcp,64,0.002974055,21519.440629040146,,
tcp,64,0.003073067,20826.099788907955,,
tcp,64,0.002841259,22525.225613011695,,
tcp,64,0.00302138,21182.37361735366,,
tcp,64,0.003052117,20969.051972778238,,
tcp,64,0.002911757,21979.856148710212,,
tcp,64,0.002143872,29852.528509164727,,
tcp,64,0.002915627,21950.681620111212,,
tcp,64,0.003044955,21018.3730137227,,
tcp,64,0.003221153,19868.66193564851,,
tcp,64,0.002991683,21392.640864690544,,
tcp,64,0.004347277,14721.859223601348,,
tcp,64,0.002670645,23964.248337012217,,
tcp,64,0.002761416,23176.515237110234,,
tcp,64,0.004116714,15546.379952554393,,
tcp,64,0.003017774,21207.6848697086,,
tcp,64,0.003073597,20822.50861124604,,
tcp,64,0.002904914,22031.633294479627,,
tcp,64,0.002755172,23229.039784086075,,
tcp,64,0.002974693,21514.825227342786,,
tcp,64,0.002932637,21823.362386821143,,
tcp,64,0.003031037,21114.885763519218,,
tcp,64,0.003018962,21199.339375586707,,
tcp,1024,0.003003435,340942.9536514025,,
tcp,1024,0.00296747,345075.0976420992,,
tcp,1024,0.003016007,339521.7584044069,,
tcp,1024,0.003032672,337656.0340188454,,
tcp,1024,0.003064858,334110.0958021546,,
tcp,1024,0.002926706,349881.40250506887,,
tcp,1024,0.003044715,336320.4766291755,,
tcp,1024,0.002981382,343464.8763559987,,
tcp,1024,0.002839247,360659.0057152477,,
tcp,1024,0.002947712,347388.0759042946,,
tcp,1024,0.002859207,358141.26084610174,,
tcp,1024,0.002876613,355974.1960423595,,
tcp,1024,0.002926466,349910.09634145757,,
tcp,1024,0.003145824,325510.8995290264,,
tcp,1024,0.002980139,343608.13371456834,,
tcp,1024,0.002968368,344970.7044409588,,
tcp,1024,0.003037651,337102.583542349,,
tcp,1024,0.003105426,329745.4197910367,,
tcp,1024,0.00309306,331063.73623531393,,
tcp,1024,0.003335797,306973.1161698389,,
tcp,1024,0.002511879,407662.94873280125,,
tcp,1024,0.002844236,360026.38318339264,,
tcp,1024,0.002808537,364602.63831311464,,
tcp,1024,0.003048461,335907.20038734295,,
tcp,1024,0.002892738,353989.8877810572,,
tcp,1024,0.003023359,338696.13234815974,,
tcp,1024,0.002966561,345180.8339690301,,
tcp,1024,0.003070239,333524.52366086154,,
tcp,1024,0.002940157,348280.721063535,,
tcp,1024,0.003054217,335274.1471873151,,
tcp,1024,0.003003089,340982.23529172793,,
tcp,1024,0.002953774,346675.1349290772,,
tcp,1024,0.002925181,350063.80801735003,,
tcp,1024,0.003000412,341286.4633257033,,
tcp,1024,0.002988998,342589.724047992,,
tcp,1024,0.00298383,343183.0901894545,,
tcp,1024,0.003050666,335664.4090175719,,
tcp,1024,0.00298984,342493.2437856206,,
tcp,1024,0.003016769,339435.9992428986,,
tcp,1024,0.002878275,355768.64615090634,,
tcp,1024,0.002660857,384838.4185997218,,
tcp,1024,0.002948061,347346.9510976876,,
tcp,1024,0.00291569,351203.31722508225,,
tcp,1024,0.003078652,332613.10469647107,,
tcp,1024,0.002969064,344889.83733594156,,
tcp,1024,0.002877894,355815.74581968616,,
tcp,1024,0.002942165,348043.0227400571,,
tcp,1024,0.002976015,344084.2872095739,,
tcp,1024,0.003035665,337323.12359894783,,
tcp,1024,0.003020553,339010.7705443341,,
tcp,1024,0.002984556,343099.6101262633,,
tcp,1024,0.003051393,335584.4363541504,,
tcp,1024,0.00293077,349396.2337542694,,
tcp,1024,0.003017834,339316.211561007,,
tcp,1024,0.002490167,411217.4002787765,,
tcp,1024,0.002920947,350571.2359724432,,
tcp,1024,0.002732552,374741.267503784,,
tcp,1024,0.002796136,366219.6688573088,,
tcp,1024,0.00232417,440587.39248850127,,
tcp,1024,0.002834895,361212.67277976783,,
tcp,1024,0.002356382,434564.51458210085,,
tcp,1024,0.002608387,392579.7820645479,,
tcp,1024,0.002810609,364333.8507775361,,
tcp,1024,0.002540749,403030.7598271218,,
udp,1,0.0030388,329.077267342372,,
udp,1,0.002543917,393.09458602619503,,
udp,1,0.003165145,315.9412917891598,,
udp,1,0.002725461,366.9104052488735,,
udp,1,0.003040931,328.8466591316935,,
udp,1,0.002502749,399.56064311682877,,
udp,1,0.002572438,388.736288299271,,
udp,1,0.003004371,332.848373253503,,
udp,1,0.00301828,331.3145235034523,,
udp,1,0.002870665,348.35134019469353,,
udp,1,0.003306816,302.4056978071958,,
udp,1,0.002119914,471.717248907267,,
udp,1,0.00298417,335.1015525254929,,
udp,1,0.002526975,395.7300725175358,,
udp,1,0.002938733,340.28270006155714,,
udp,1,0.002834249,352.82715103718834,,
udp,1,0.002706312,369.50654617797204,,
udp,1,0.002864336,349.1210528373766,,
udp,1,0.002719386,367.7300684786934,,
udp,1,0.002440678,409.72221653163587,,
udp,1,0.002956969,338.1841338208145,,
udp,1,0.00304489,328.41908903113085,,
udp,1,0.002932477,341.0086421820188,,
udp,1,0.002579608,387.65579886556407,,
udp,1,0.003193829,313.1038011114559,,
udp,1,0.003055623,327.26550363051985,,
udp,1,0.002658315,376.1781429213618,,
udp,1,0.002531666,394.9968123757241,,
udp,1,0.002939902,340.147392668191,,
udp,1,0.003363334,297.324024316348,,
udp,1,0.002513793,397.805228990613,,
udp,1,0.001640991,609.3878637969373,,
udp,1,0.002718822,367.806351427199,,
udp,1,0.001979026,505.29907136136666,,
udp,1,0.00297814,335.7800506356316,,
udp,1,0.002947726,339.24455665146627,,
udp,1,0.002865705,348.95427128751913,,
udp,1,0.002934074,340.82303309323487,,
udp,1,0.002528192,395.53957927246034,,
udp,1,0.002744009,364.4302915916092,,
udp,1,0.003037801,329.18548647524966,,
udp,1,0.002847959,351.12865037734036,,
udp,1,0.002600831,384.4924948987458,,
udp,1,0.002623794,381.12748180687964,,
udp,1,0.002677295,373.5113239295632,,
udp,1,0.002421622,412.9463640485592,,
udp,1,0.002626183,380.78077574944325,,
udp,1,0.003001745,333.13955715758664,,
udp,1,0.003003991,332.8904780340553,,
udp,1,0.003061895,326.59513144637555,,
udp,1,0.002795886,357.668374175485,,
udp,1,0.002750616,363.5549273326411,,
udp,1,0.002753449,363.18086879401073,,
udp,1,0.002755134,362.95875264143234,,
udp,1,0.00250871,398.61123844525673,,
udp,1,0.002906811,344.0196146223473,,
udp,1,0.002132673,468.89513769809065,,
udp,1,0.002873367,348.02376445473203,,
udp,1,0.002744869,364.3161112606831,,
udp,1,0.002353091,424.9729398480552,,
udp,1,0.002970505,336.64309603922567,,
udp,1,0.002928204,341.5062611757924,,
udp,1,0.003352901,298.2491877928993,,
udp,1,0.002668517,374.7399772982522,,
udp,64,0.002092296,30588.406229328928,,
udp,64,0.002755867,23223.181670232996,,
udp,64,0.002439438,26235.550975265614,,
udp,64,0.002836677,22561.6099400813,,
udp,64,0.002273172,28154.4907292541,,
udp,64,0.002877457,22241.861476991664,,
udp,64,0.002281192,28055.507822226275,,
udp,64,0.00296419,21591.058602856094,,
udp,64,0.002832755,22592.84689286578,,
udp,64,0.002435196,26281.25210455339,,
udp,64,0.002363674,27076.491935859176,,
udp,64,0.002799795,22858.81644906145,,
udp,64,0.002924637,21883.057623903413,,
udp,64,0.002956663,21646.024589207496,,
udp,64,0.00258803,24729.23420516764,,
udp,64,0.002816224,22725.465019827967,,
udp,64,0.002851768,22442.21830106797,,
udp,64,0.002939672,21771.13637167684,,
udp,64,0.002541207,25184.882616803745,,
udp,64,0.002984603,21443.387948078856,,
udp,64,0.002613086,24492.113922006392,,
udp,64,0.002571647,24886.77489562137,,
udp,64,0.002053005,31173.8159429714,,
udp,64,0.002590563,24705.05446113451,,
udp,64,0.002252827,28408.75042779583,,
udp,64,0.002657975,24078.48079835213,,
udp,64,0.002769258,23110.883854086544,,
udp,64,0.00230159,27806.863950573297,,
udp,64,0.002869235,22305.59713651897,,
udp,64,0.002796648,22884.538919449282,,
udp,64,0.002702254,23683.932006391704,,
udp,64,0.002879436,22226.574926478657,,
udp,64,0.002765459,23142.63201877157,,
udp,64,0.002319602,27590.94016990846,,
udp,64,0.002317749,27612.998646531614,,
udp,64,0.002483246,25772.71844996428,,
udp,64,0.002408461,26572.98581957524,,
udp,64,0.002733864,23410.0891631771,,
udp,64,0.002045418,31289.447927025187,,
udp,64,0.002412447,26529.080224353118,,
udp,64,0.00254352,25161.980247845506,,
udp,64,0.002595173,24661.169024184514,,
udp,64,0.00319527,20029.606261755656,,
udp,64,0.002609105,24529.484248430017,,
udp,64,0.002899832,22070.2440693116,,
udp,64,0.002867745,22317.186500194402,,
udp,64,0.002167622,29525.44308924711,,
udp,64,0.002950311,21692.62833647029,,
udp,64,0.002990332,21402.30583092446,,
udp,64,0.003080706,20774.458841577223,,
udp,64,0.002570903,24893.976941175923,,
udp,64,0.002877635,22240.485676605964,,
udp,64,0.002442229,26205.56876525502,,
udp,64,0.002743625,23326.803043418833,,
udp,64,0.002685045,23835.727147962138,,
udp,64,0.002636376,24275.74822407729,,
udp,64,0.003117106,20531.865133877385,,
udp,64,0.002916422,21944.697989522778,,
udp,64,0.002915777,21949.552383464168,,
udp,64,0.003908198,16375.833568309487,,
udp,64,0.002655499,24100.93168929832,,
udp,64,0.002889955,22145.673548550065,,
udp,64,0.002213078,28918.998788113207,,
udp,64,0.002891065,22137.17090414778,,
udp,1024,0.002735877,374285.8322943612,,
udp,1024,0.002837538,360876.2243888892,,
udp,1024,0.003001871,341120.58779341285,,
udp,1024,0.00303498,337399.2579852256,,
udp,1024,0.003042695,336543.75479632366,,
udp,1024,0.002914584,351336.5886864129,,
udp,1024,0.002895751,353621.56483758445,,
udp,1024,0.00281128,364246.8910958709,,
udp,1024,0.00254023,403113.10393153375,,
udp,1024,0.002432154,421025.9712172831,,
udp,1024,0.002521555,406098.6177180351,,
udp,1024,0.002512904,407496.66521283746,,
udp,1024,0.003066156,333968.6565197596,,
udp,1024,0.002727908,375379.2283317473,,
udp,1024,0.003067406,333832.5608021892,,
udp,1024,0.002736807,374158.64545801,,
udp,1024,0.002927212,349820.92175079905,,
udp,1024,0.003104026,329894.1439279181,,
udp,1024,0.002898098,353335.18742292357,,
udp,1024,0.002900625,353027.3647920707,,
udp,1024,0.00234724,436257.0508341712,,
udp,1024,0.002832268,361547.70664358034,,
udp,1024,0.002481346,412679.2474729441,,
udp,1024,0.003049538,335788.56862908415,,
udp,1024,0.002948209,347329.51429155807,,
udp,1024,0.002725322,375735.4176864238,,
udp,1024,0.002951574,346933.53444636654,,
udp,1024,0.00268348,381594.0495177904,,
udp,1024,0.003035363,337356.6851806522,,
udp,1024,0.002999224,341421.64773288026,,
udp,1024,0.002697503,379610.3285149266,,
udp,1024,0.003282812,311927.7010075509,,
udp,1024,0.002801548,365512.2096783635,,
udp,1024,0.002993927,342025.7073736267,,
udp,1024,0.002980303,343589.2256592702,,
udp,1024,0.003091485,331232.4012570011,,
udp,1024,0.002526293,405336.9898107622,,
udp,1024,0.002321274,441137.06524951383,,
udp,1024,0.003636306,281604.46343074535,,
udp,1024,0.002303466,444547.47758378024,,
udp,1024,0.002947588,347402.68992817175,,
udp,1024,0.00294817,347334.1089557251,,
udp,1024,0.003010916,340095.8379443332,,
udp,1024,0.002988677,342626.5200287619,,
udp,1024,0.002873591,356348.554822172,,
udp,1024,0.002989128,342574.82449731155,,
udp,1024,0.003018651,339224.3753915242,,
udp,1024,0.00298339,343233.703940819,,
udp,1024,0.002858299,358255.03210126027,,
udp,1024,0.00267869,382276.41123086284,,
udp,1024,0.003047247,336041.02325804246,,
udp,1024,0.002939135,348401.8257072234,,
udp,1024,0.003019858,339088.7915921875,,
udp,1024,0.002930402,349440.11094723525,,
udp,1024,0.003053594,335342.5504503873,,
udp,1024,0.002937402,348607.3748162492,,
udp,1024,0.003000157,341315.4711570095,,
udp,1024,0.054712487,18716.01998278748,,
udp,1024,0.004112143,249018.5774181491,,
udp,1024,0.002782727,367984.35491516057,,
udp,1024,0.003353227,305377.47668141767,,
udp,1024,0.003046361,336138.7570284677,,
udp,1024,0.002999358,341406.3943017139,,
udp,1024,0.002930694,349405.29444561596,,
tcp,1024,0.003113666,328872.7821160009,,
tcp,1024,0.002755241,371655.3288804863,,
tcp,1024,0.002715211,377134.5946963238,,
tcp,1024,0.003115551,328673.80440891517,,
tcp,1024,0.003473139,294834.15434855904,,
tcp,1024,0.003017016,339408.2099664039,,
tcp,1024,0.002989809,342496.7949457641,,
tcp,1024,0.003000153,341315.926221096,,
tcp,1024,0.002999544,341385.2238873642,,
tcp,1024,0.003027166,338270.18405994255,,
tcp,1024,0.002753415,371901.8019441312,,
tcp,1024,0.003038335,337026.69389649265,,
tcp,1024,0.002936161,348754.7174695121,,
tcp,1024,0.002785619,367602.3174741413,,
tcp,1024,0.002952805,346788.9007232106,,
tcp,1024,0.003021527,338901.4892138975,,
tcp,1024,0.002999366,341405.4836922203,,
tcp,1024,0.002732331,374771.5778212815,,
tcp,1024,0.003033449,337569.5454250261,,
tcp,1024,0.002996249,341760.6480636289,,
tcp,1024,0.002938902,348429.44746031,,
tcp,1024,0.002976463,344032.4976322568,,
tcp,1024,0.002937198,348631.5869750695,,
tcp,1024,0.003075575,332945.8719101306,,
tcp,1024,0.002925984,349967.7373492131,,
tcp,1024,0.00306112,334518.08488396404,,
tcp,1024,0.002989745,342504.12660611526,,
tcp,1024,0.002965533,345300.49067064846,,
tcp,1024,0.003017407,339364.2289555237,,
tcp,1024,0.002947783,347379.70875061024,,
tcp,1024,0.003076537,332841.76332025265,,
