Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
tcp,64,1,0.171128614,5.843558108873598,0
tcp,64,64,0.188219902,340.0278042860739,0
tcp,64,1024,0.187351256,5465.6692560417105,0
udp,64,1,0.125441054,7.97187179246756,0
udp,64,64,0.126960551,504.0935904570861,0
udp,64,1024,0.134953614,7587.792350636864,0
tcp,64,1024,0.188244468,5439.734887720579,0
tcp,64,16384,0.359792827,45537.316951568915,0
tcp,64,65536,0.965836193,67854.15629998036,0
tcp,64,262144,3.204974539,81792.84946263343,0
tcp,64,1048576,14.040460765,74682.44935478797,0
tcp,256,4096,1.013631152,4040.917637464244,0
tcp,512,2048,1.759472004,1163.9855566579392,0
tcp,1024,1024,3.11815483,328.3993437875566,0
udp,256,4096,0.797447199,5136.390227636877,0
udp,512,2048,1.5999115320000001,1280.07077831351,0
udp,1024,1024,2.223079522,460.62229887249174,0
Transfer Protocall,data size (bytes),time (s),throughput (bytes / s),,
tcp,1,0.002881487,347.04303715408054,,
tcp,1,0.003058512,326.9563761724655,,
tcp,1,0.003023541,330.7380319962587,,
tcp,1,0.003053041,327.54227670050943,,
tcp,1,0.002877255,347.5534841367901,,
tcp,1,0.003050856,327.7768600025698,,
tcp,1,0.00303689,329.2842348586877,,
tcp,1,0.002844743,351.5256035430969,,
tcp,1,0.001993778,501.56035426210946,,
tcp,1,0.002047505,488.3992957282156,,
tcp,1,0.001998416,500.3963138805935,,
tcp,1,0.002974142,336.23142405439955,,
tcp,1,0.002024561,493.93424055881746,,
tcp,1,0.002004985,498.7568485549767,,
tcp,1,0.002007359,498.16699454357695,,
tcp,1,0.002232335,447.96143947928965,,
tcp,1,0.002971853,336.4903984147264,,
tcp,1,0.002881991,346.9823465791531,,
tcp,1,0.002904679,344.2721209469274,,
tcp,1,0.002007454,498.14341947561434,,
tcp,1,0.002106754,474.6638667827378,,
tcp,1,0.002950841,338.88643949301235,,
tcp,1,0.002999817,333.35366790707565,,
tcp,1,0.002988713,334.5921806476567,,
tcp,1,0.003012807,331.91638229730614,,
tcp,1,0.002958375,338.0234081210124,,
tcp,1,0.002763665,361.83835595124594,,
tcp,1,0.002924474,341.9418329586791,,
tcp,1,0.002022829,494.3571601949547,,
tcp,1,0.002124432,470.7140543919504,,
tcp,1,0.002860341,349.60866554022755,,
tcp,1,0.002054494,486.73785370022983,,
tcp,1,0.003027021,330.3578006231209,,
tcp,1,0.002569019,389.253641175873,,
tcp,1,0.002552251,391.8109935112181,,
tcp,1,0.002080392,480.67864133297957,,
tcp,1,0.002930206,341.27293439437364,,
tcp,1,0.001763854,566.9403476704988,,
tcp,1,0.002925777,341.7895485541106,,
tcp,1,0.002927861,341.5462687607096,,
tcp,1,0.002985059,335.0017537341808,,
tcp,1,0.00302831,330.21718384181275,,
tcp,1,0.003103707,322.19536186888774,,
tcp,1,0.00294708,339.3189190656514,,
tcp,1,0.003586808,278.7994227736751,,
tcp,1,0.002332944,428.6429507094898,,
tcp,1,0.002003672,499.08368235918846,,
